Bourgogne Couvent des Jacobins 2017,2017,379,3.8,1114,France
Grüner Veltliner Federspiel Terrassen 2019,2019,145,3.8,1113,Austria
Gran Maestro Appassimento Rosso 2018,2018,65,3.9,1112,Italy
Macán Clásico 2016,2016,295,4.3,1111,Spain
Pauillac (Grand Cru Classé) 2014,2014,1074.95,4.3,1111,France
Châteauneuf-du-Pape 2015,2015,279,4.0,1110,France
Pauillac (Grand Cru Classé) 2012,2012,1299,4.3,1109,France
Edizione Cinque Autoctoni,9999,149,4.3,57754,Italy
Malbec 2018,2018,59.95,3.8,16770,Argentina
Malbec 2016,2016,129.95,4.1,16138,Argentina
Cabernet Sauvignon 2016,2016,1245,4.6,13942,United States
Malbec 2013,2013,99.95,3.9,13271,Argentina
Red Blend 2017,2017,549,4.3,10995,United States
Cabernet Sauvignon 2018,2018,649,4.5,10779,United States
Ripassa Valpolicella Ripasso Superiore 2016,2016,169,4.1,10627,Italy
Primitivo 2019,2019,79,4.1,9886,Italy
Reserva Tannat 2017,2017,99,4.0,9886,Uruguay
Crianza 2016,2016,81,3.6,9544,Spain
The Chocolate Block 2017,2017,199.95,4.2,8571,South Africa
Malbec 2015,2015,154.95,4.1,8345,Argentina
Pinot Noir 2018,2018,249,4.1,7759,United States
Sauvignon Blanc 2019,2019,180,4.2,6990,New Zealand
The Chocolate Block 2016,2016,199.95,4.2,6657,South Africa
Valpolicella Ripasso (Classico Superiore) 2016,2016,399,3.9,6566,Italy
Sonoma Zinfandel 2015,2015,199,4.1,6430,United States
Malbec 2017,2017,84.95,3.7,6320,Argentina
Cabernet Sauvignon 2016,2016,169,3.7,6299,United States
Gran Enemigo Single Vineyard Gualtallary Cabernet Franc 2015,2015,599.95,4.7,5610,Argentina
Napa Valley Cabernet Sauvignon 2013,2013,999,4.5,5487,United States
Cabernet Franc 2014,2014,149.95,4.2,5460,Argentina
Viña Tondonia Reserva 2007,2007,295,4.1,5438,Spain
Malbec Argentino 2015,2015,650,4.5,5370,Argentina
Pinot Noir 2016,2016,179,4.0,5316,United States
The Chocolate Block 2015,2015,199.95,4.1,5230,South Africa
